航班号     共享航班     经停站     目的站     办票时间     值机柜台     登机口     航班状态
2877       -----        -----       -----       -----       -----        -----        -----      
2877       -----        -----       -----       -----       -----        227          -----      
2736       -----        -----       -----       -----       -----        -----        -----      
2217       -----        -----       -----       -----       -----        -----        DEP     
2217       -----        -----       -----       -----       -----        -----        -----      
2217       -----        -----       -----       -----       -----        -----        -----      
2217       -----        -----       -----       -----       -----        216          -----      
363        -----        -----       -----       -----       -----        -----        -----      
363        -----        -----       -----       -----       -----        101          -----      
363        -----        -----       -----       -----       -----        101          -----      
8365       -----        -----       -----       -----       -----        -----        -----      
8365       -----        -----       -----       -----       -----        265          -----      
8365       -----        -----       -----       -----       -----        265          -----      
7819       -----        -----       -----       -----       -----        -----        CKO     
171        -----        -----       -----       -----       -----        -----        CKI     
7857       -----        -----       -----       -----       -----        -----        CKO     
7819       -----        -----       -----       -----       -----        -----      
171        -----        -----       -----       -----       B19          -----        -----      
171        -----        -----       -----       -----       B18          -----        -----      
7857       -----        -----       -----       -----       -----        -----      
7857       -----        -----       -----       -----       -----        -----        -----      
7857       -----        -----       -----       -----       -----        207          -----      
1529       -----        -----       -----       -----       -----        -----        POK     
7857       -----        -----       -----       -----       -----        207          -----      
1529       -----        -----       -----       -----       -----        205          -----      
7819       -----        -----       -----       -----       -----        -----        -----      
1529       -----        -----       -----       -----       -----        205          -----      
7819       -----        -----       -----       -----       -----        214          -----      
7819       -----        -----       -----       -----       -----        214          -----      
3035       -----        -----       -----       -----       -----        -----        -----      
3035       -----        -----       -----       -----       -----        217          -----      
3035       -----        -----       -----       -----       -----        217          -----      
951        -----        -----       -----       -----       -----        -----        POK     
951        -----        -----       -----       -----       -----        118          -----      
951        -----        -----       -----       -----       -----        118          -----      
1668       -----        -----       -----       null       -----        -----        -----      
1668       -----        -----       -----       -----       -----        -----        ONR     
1609       -----        -----       -----       -----       -----        -----        -----      
8353       -----        -----       -----       -----       -----        -----        CKI     
1427       -----        -----       -----       -----       -----        -----        CKO     
8353       -----        -----       -----       -----       G20          -----        -----      
8353       -----        -----       -----       -----       G20          -----        -----      
1427       -----        -----       -----       -----       -----        -----      
1245       -----        -----       -----       -----       -----        -----        POK     
1245       -----        -----       -----       -----       -----        263          -----      
1245       -----        -----       -----       -----       -----        263          -----      
1427       -----        -----       -----       -----       -----        -----        -----      
1427       -----        -----       -----       -----       -----        204          -----      
1427       -----        -----       -----       -----       -----        204          -----      
8349       -----        -----       -----       -----       -----        -----        DEP     
8349       -----        -----       -----       -----       -----        -----        -----      
8349       -----        -----       -----       -----       -----        -----        -----      
8349       -----        -----       -----       -----       -----        212          -----      
2777       -----        -----       -----       -----       -----        -----        -----      
2777       -----        -----       -----       -----       -----        268          -----      
2777       -----        -----       -----       -----       -----        268          -----      
2751       -----        -----       -----       -----       -----        -----        DEP     
2751       -----        -----       -----       -----       -----        -----        -----      
2751       -----        -----       -----       -----       -----        -----        -----      
2751       -----        -----       -----       -----       -----        225          -----      
8353       -----        -----       -----       -----       -----        -----        DEP     
8353       -----        -----       -----       -----       -----        -----        -----      
8353       -----        -----       -----       -----       -----        -----        -----      
8353       -----        -----       -----       -----       -----        228          -----      
1317       -----        -----       -----       -----       -----        -----        CKO     
7830       -----        -----       -----       -----       -----        -----        CKO     
9070       -----        -----       -----       -----       -----        -----        CKO     
5752       -----        -----       -----       -----       -----        -----        CKI     
7843       -----        -----       -----       -----       -----        -----        CKI     
1317       -----        -----       -----       -----       -----        -----        -----      
1317       -----        -----       -----       -----       -----        -----      
7830       -----        -----       -----       -----       -----        -----      
9070       -----        -----       -----       -----       G16          -----        -----      
1317       -----        -----       -----       -----       -----        202          -----      
1317       -----        -----       -----       -----       -----        202          -----      
9070       -----        -----       -----       -----       H03          -----        -----      
5752       -----        -----       -----       -----       G20          -----        -----      
5752       -----        -----       -----       -----       G22          -----        -----      
BDJ201     -----        -----       -----       -----       -----        -----        DEP     
BDJ201     -----        -----       -----       -----       -----        -----        -----      
1371       -----        -----       -----       -----       -----        -----        -----      
2883       -----        -----       -----       null       -----        -----        -----      
2883       -----        -----       -----       -----       -----        -----        ONR     
2883       -----        -----       -----       -----       -----        -----        -----      
2843       -----        -----       -----       -----       -----        -----        -----      
7990       -----        -----       -----       -----       -----        -----        -----      
7977       -----        -----       -----       -----       -----        -----        -----      
1371       -----        -----       -----       -----       -----        264          -----      
1371       -----        -----       -----       -----       -----        264          -----      
2883       -----        -----       -----       -----       -----        -----        -----      
7830       -----        -----       -----       -----       -----        -----        -----      
7830       -----        -----       -----       -----       -----        222          -----      
7830       -----        -----       -----       -----       -----        222          -----      
1641       -----        -----       -----       -----       -----        -----        DEP     
1641       -----        -----       -----       -----       -----        -----        -----      
1641       -----        -----       -----       -----       -----        -----        -----      
1641       -----        -----       -----       -----       -----        264          -----      
363        -----        -----       -----       -----       -----        -----        POK     
363        -----        -----       -----       -----       -----        101          -----      
363        -----        -----       -----       -----       -----        101          -----      
777        -----        -----       -----       -----       -----        -----        -----      
777        -----        -----       -----       -----       -----        117          -----      
777        -----        -----       -----       -----       -----        117          -----      
151        -----        -----       -----       -----       -----        -----        null     
7815       -----        -----       -----       -----       -----        -----        CKO     
777        -----        -----       -----       -----       -----        -----        BOR     
151        -----        -----       -----       -----       B14          -----        -----      
